Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QI","Indices de production","2","Afghanistan","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","103.95","Fc","Donnée calculée"
"QI","Indices de production","202","Afrique du Sud","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","128.89","Fc","Donnée calculée"
"QI","Indices de production","3","Albanie","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","110.44","Fc","Donnée calculée"
"QI","Indices de production","4","Algérie","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","141.81","Fc","Donnée calculée"
"QI","Indices de production","79","Allemagne","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","110.2","Fc","Donnée calculée"
"QI","Indices de production","7","Angola","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","137.32","Fc","Donnée calculée"
"QI","Indices de production","8","Antigua-et-Barbuda","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","51.01","Fc","Donnée calculée"
"QI","Indices de production","194","Arabie saoudite","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","130.8","Fc","Donnée calculée"
"QI","Indices de production","9","Argentine","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","108.95","Fc","Donnée calculée"
"QI","Indices de production","1","Arménie","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","124.45","Fc","Donnée calculée"
"QI","Indices de production","10","Australie","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","106.18","Fc","Donnée calculée"
"QI","Indices de production","11","Autriche","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","103.58","Fc","Donnée calculée"
"QI","Indices de production","52","Azerbaïdjan","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","164.6","Fc","Donnée calculée"
"QI","Indices de production","12","Bahamas","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","114.05","Fc","Donnée calculée"
"QI","Indices de production","13","Bahreïn","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","351.14","Fc","Donnée calculée"
"QI","Indices de production","16","Bangladesh","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","124.67","Fc","Donnée calculée"
"QI","Indices de production","14","Barbade","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","106.94","Fc","Donnée calculée"
"QI","Indices de production","57","Bélarus","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","136.25","Fc","Donnée calculée"
"QI","Indices de production","255","Belgique","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","105.88","Fc","Donnée calculée"
"QI","Indices de production","23","Belize","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","113.87","Fc","Donnée calculée"
"QI","Indices de production","53","Bénin","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","132.9","Fc","Donnée calculée"
"QI","Indices de production","17","Bermudes","432","Indice de production brut (Référence 2004-2006)","2044","Élevage (Indice Pr)","2013","2013","Int. $","109.01","Fc","Donnée calculée"
