,country,pop_growth,animal_prot_ratio,disp_kcal_aper_aday,disp_g_aper_aday,pib_hab,volailles_kcal_ratio,volailles_prot_ratio,volailles_imp_exp,cluster
0,Arménie,1.87,48.03,2928.0,90.04,3843.5907509999997,1.54,5.01,32.0,4
1,Afghanistan,15.19,20.98,2090.0,58.25,681.034215,0.43,1.49,48.0,1
2,Albanie,-0.72,53.33,3193.0,111.42,4376.970549000001,2.1,4.43,25.0,4
3,Algérie,10.72,27.17,3296.0,91.96,5471.123389,0.79,2.48,3.0,4
4,Angola,18.43,32.13,2473.0,57.26,5258.408495000001,2.35,10.2,342.0,2
5,Antigua-et-Barbuda,5.21,67.89,2417.0,83.71,12194.549592,10.38,22.7,6.0,3
6,Argentine,5.13,65.22,3229.0,102.64,14417.421454,5.14,12.06,-364.0,4
7,Australie,7.07,67.44,3276.0,106.28,66544.67095599999,5.68,15.11,-21.0,5
8,Autriche,3.92,59.18,3768.0,106.21,50137.519579,1.75,7.22,38.0,5
9,Bahamas,5.03,65.15,2670.0,86.62,28303.366072000004,6.97,18.22,19.0,3
10,Barbade,0.82,57.25,2937.0,88.24,15755.427261,6.13,16.08,1.0,3
11,Bangladesh,5.64,17.77,2450.0,55.84,974.193541,0.24,0.79,0.0,1
12,Bermudes,-2.53,66.39,2671.0,90.79,89968.618136,4.04,13.33,4.0,5
13,Bolivie (État plurinational de),7.69,45.08,2256.0,66.01,2947.938522,6.56,16.53,-1.0,3
14,Botswana,9.29,40.72,2326.0,64.86,7001.009879000001,0.77,2.93,6.0,2
15,Belize,10.81,39.51,2751.0,73.27,4685.249911999999,4.4,12.46,0.0,2
16,Îles Salomon,14.27,31.0,2391.0,56.36,1839.056491,0.46,2.02,2.0,1
17,Brunéi Darussalam,6.07,56.69,2985.0,93.41,44598.075686000004,7.17,22.87,2.0,3
18,Bulgarie,-3.27,49.44,2829.0,83.53,7645.932129000001,2.79,9.69,52.0,4
19,Myanmar,3.58,40.81,2571.0,82.61,1207.807683,3.23,8.66,1.0,2
20,Cameroun,14.22,16.72,2671.0,69.96,1493.748324,0.41,1.59,1.0,1
21,Canada,5.04,52.12,3494.0,104.95,52264.959967,4.15,12.46,36.0,5
22,Cabo Verde,6.26,37.92,2609.0,73.65,3558.7979,2.41,8.99,9.0,2
23,République centrafricaine,4.91,37.19,1879.0,46.06,347.913167,0.27,1.06,1.0,1
24,Sri Lanka,2.74,27.32,2539.0,59.71,3620.4484520000005,0.67,2.81,-2.0,1
25,Tchad,17.07,15.47,2110.0,62.72,1051.306964,0.05,0.22,0.0,1
26,Chili,6.59,51.82,2979.0,87.36,15941.397938999999,5.14,14.15,-32.0,3
27,"Chine, continentale",2.57,40.07,3108.0,98.02,6947.741982,2.03,4.35,20.0,4
28,Colombie,6.81,52.0,2804.0,64.38,8030.585914,3.39,12.78,57.0,2
29,Congo,13.45,43.07,2208.0,51.66,3747.3591340000003,1.99,8.73,51.0,1
30,Costa Rica,5.43,54.59,2848.0,75.07,10569.665626,2.95,9.75,5.0,2
31,Cuba,0.49,34.97,3409.0,90.86,6760.153440000001,2.02,6.75,195.0,4
32,Chypre,3.97,58.05,2649.0,77.61,27944.122812999998,3.21,11.48,12.0,2
33,Azerbaïdjan,6.01,32.29,3118.0,93.15,7901.783462,1.12,3.82,5.0,4
34,Bénin,14.8,22.12,2619.0,64.43,910.6692009999999,1.99,10.82,185.0,2
35,Danemark,2.02,64.13,3367.0,108.88,60942.805627,2.91,9.77,-21.0,5
36,Dominique,0.86,51.4,2931.0,76.25,6933.415429000001,4.47,13.38,4.0,3
37,République dominicaine,5.76,45.36,2614.0,58.2,6094.728502,3.63,14.0,15.0,2
38,Bélarus,0.31,58.58,3250.0,93.82,7967.962369,3.23,11.26,-91.0,4
39,Équateur,8.77,59.53,2344.0,61.36,6074.090829,4.01,11.34,1.0,2
40,Égypte,11.33,25.51,3522.0,103.24,3015.145298,1.59,4.88,124.0,4
41,El Salvador,2.47,35.12,2577.0,71.9,3515.9472,2.64,8.22,12.0,2
42,Estonie,0.29,51.24,3253.0,103.9,19020.818691,2.61,6.87,9.0,4
43,Fidji,2.07,42.62,2943.0,73.6,4763.100059,2.41,9.27,1.0,4
44,Finlande,1.54,62.04,3368.0,117.72,49659.588178,2.11,6.96,3.0,5
45,Polynésie française,2.72,65.89,2927.0,96.85,22045.687291,5.88,17.41,16.0,3
46,Djibouti,8.56,22.91,2607.0,65.86,1477.363042,0.27,1.05,2.0,1
47,Géorgie,-1.13,35.79,2905.0,80.53,3989.3453409999997,1.41,5.15,43.0,4
48,Gabon,16.63,49.67,2830.0,86.63,9679.722828,3.92,13.64,70.0,2
